"","land","GYRATE_AM","CLUMPY","COHESION","pdens"
"1","ibr20",6448.9395,0.8617,99.3116,0.374739583333333
"2","ibr21",5462.2413,0.8651,99.1494,0.646744791666667
"3","ibr22",6128.9179,0.894,99.3966,0.637369791666667
"4","ibr23",5008.744,0.9247,99.7176,0.0809895833333333
"5","ibr24",5094.8355,0.8133,99.434,0.54609375
"6","ibr25",4965.9156,0.9168,99.2474,0.903776041666667
"7","ibr26",6097.7876,0.8709,99.0629,0.543229166666667
"8","ibr27",4944.1618,0.9375,98.8312,0.9984375
"9","ibr28",6323.522,0.821,99.6442,0.549479166666667
"10","ibr29",4258.1919,0.849,99.2274,0.45703125
"11","ibr40",6448.9395,0.8617,99.3116,0.374739583333333
"12","ibr41",5462.2413,0.8651,99.1494,0.646744791666667
"13","ibr42",6128.9179,0.894,99.3966,0.637369791666667
"14","ibr43",5008.744,0.9247,99.7176,0.0809895833333333
"15","ibr44",5094.8355,0.8133,99.434,0.54609375
"16","ibr45",4965.9156,0.9168,99.2474,0.903776041666667
"17","ibr46",6097.7876,0.8709,99.0629,0.543229166666667
"18","ibr47",4944.1618,0.9375,98.8312,0.9984375
"19","ibr48",6323.522,0.821,99.6442,0.549479166666667
"20","ibr49",4258.1919,0.849,99.2274,0.45703125
